seed_id,route_pair_id,n_A,n_B,admissible_edges,max_matched_slots,median_cost_units,cell_status,bank_id,unmatched_count
SEED_ICLR2026_01825240552aa89ec228dfc37f19ba16,R2,29,28,763,28,75525.0,MEASURED,c3e54758d1a91d59115ea05e0d4cc6e8fa6206d86e0732b9bfe41a5010f1648c,1
SEED_ICLR2026_01825240552aa89ec228dfc37f19ba16,R3,29,3,84,3,18982,MEASURED,cc1ce5cb1615c0bfb07f437e001a1889272d129dbb3fe19201c10f21f26cf7bb,26
SEED_ICLR2026_01825240552aa89ec228dfc37f19ba16,R4,10,3,28,3,172205,MEASURED,09d94371131aa60a74ac630bbffdd220c109b580ec91798e10e53494e225d39c,7
SEED_ICLR2026_01830c92c6558179fa6d7fb1edff692c,R1,41,0,0,0,,MEASURED,262d5901388e2f4efb2bd34b82aa31fd36fbfced8f5f52f2392028bff0f3b63c,41
SEED_ICLR2026_01830c92c6558179fa6d7fb1edff692c,R2,41,9,315,9,90659,MEASURED,6fe5f11584bf33b1ebce5eeccdf943de64588068896326997e8dc7472ec47bc7,32
SEED_ICLR2026_01830c92c6558179fa6d7fb1edff692c,R3,41,3,108,3,161077,MEASURED,57c5da289745e29054142278f7ab0bb7d3ee523433b33ad9b5bc10125fae7271,38
SEED_ICLR2026_01830c92c6558179fa6d7fb1edff692c,R4,0,3,0,0,,MEASURED,17709d2c12be57312a675d036a564ce2aa1965721c40dccc9fff93333d6bb92a,3
SEED_ICLR2026_01946043eea3b55c4650e5dd07ae6cad,R1,42,4,152,4,72158.5,MEASURED,ac0052fab21e086cd715d50bc1f864a98963dbae068c738995caad4bc6a2b1a7,38
SEED_ICLR2026_01946043eea3b55c4650e5dd07ae6cad,R2,42,10,392,10,39562.0,MEASURED,9bee0891cdfc84928ba77eca58b8326de9f1223484e60087b96f692a127fdd1b,32
SEED_ICLR2026_01946043eea3b55c4650e5dd07ae6cad,R3,42,5,166,5,174155,MEASURED,6dd50f32c56c6f399fc379b088375b4c2860db82552e87a34c6a4a9deed3af25,37
SEED_ICLR2026_01946043eea3b55c4650e5dd07ae6cad,R4,4,5,18,4,308541.5,MEASURED,5cec6f2e676f814174c95d7ddb3602cf9ef009020c212e9b34e229a79ba8e491,1
SEED_ICLR2026_0196eebbc8ee15f4e2f9d919d48642b4,R1,24,0,0,0,,MEASURED,8cf01b6f1c931ec15e9bdf801ad202813e64ac27a3dc66d53ba1496b44cc46d2,24
SEED_ICLR2026_0196eebbc8ee15f4e2f9d919d48642b4,R2,24,0,0,0,,MEASURED,735942afab740d2a98b5c1541750cd22cd2beb99318fc9b058f54c556f203b90,24
SEED_ICLR2026_0196eebbc8ee15f4e2f9d919d48642b4,R3,24,2,44,2,122097.5,MEASURED,4d6788223816bb606c8e57b538cc4f581b50f6fc24fee2001730f44a2713e31f,22
SEED_ICLR2026_0196eebbc8ee15f4e2f9d919d48642b4,R4,0,2,0,0,,MEASURED,1d60c69715045103c329bea5f48fc3470f599f257b89da7fd85c3bc490e34621,2
SEED_ICLR2026_019ef89617d539b15ed610ce8d1b76e1,R1,23,2,40,2,175692.0,MEASURED,89d363710cd1241f3ad077a8077a4f32fffb998f076962e309001a07a4f4036b,21
SEED_ICLR2026_019ef89617d539b15ed610ce8d1b76e1,R2,23,2,41,2,232666.5,MEASURED,a4e9af5e9dcab37985c6fce9cdae30233a411e8b4f086e51cb4932bd85a3978a,21
SEED_ICLR2026_019ef89617d539b15ed610ce8d1b76e1,R3,23,2,45,2,94776.0,MEASURED,ac82dfaf4b34298956e8361a712e13df834d4c78da6816480ae9a75ac9d6081d,21
SEED_ICLR2026_019ef89617d539b15ed610ce8d1b76e1,R4,2,2,4,2,328430.0,MEASURED,61ae84ae6567b3631c2432adea13af3ff2d4daf2f5248de991e80be8bf659236,0
SEED_ICLR2026_01a8d63f9cb6dcbaa3092ccddd2075ac,R1,22,0,0,0,,MEASURED,9bc997b8555b8d9074b631487a56fd976632ef3f7b89a50f109d00c195f7cbb8,22
